I-V Test: B86-G33-22FZ+27MP-G-DMSO-D1GB-C2
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
141 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 11:59 AM


Light Intensity:,100.0% Sun
Voc (mV),887
Jsc (mA/cm2),3.61
Fill Factor,0.513
Efficiency (%),1.64
Voltage (mV),100.0% Sun (mA/cm2)
1300.000,-55.986525
1290.000,-50.808900
1280.000,-45.390981
1270.000,-40.571681
1260.000,-36.894744
1250.000,-33.790900
1240.000,-31.305275
1230.000,-29.171900
1220.000,-27.043606
1210.000,-25.292856
1200.000,-23.618475
1190.000,-22.147662
1180.000,-20.745519
1170.000,-19.428000
1160.000,-18.187650
1150.000,-17.017637
1140.000,-15.871206
1130.000,-14.792975
1120.000,-13.759100
1110.000,-12.784944
1100.000,-11.859900
1090.000,-10.953037
1080.000,-10.097512
1070.000,-9.258400
1060.000,-8.472244
1050.000,-7.725950
1040.000,-6.999962
1030.000,-6.330719
1020.000,-5.686684
1010.000,-5.075431
1000.000,-4.503953
990.000,-3.961999
980.000,-3.453318
970.000,-2.966687
960.000,-2.513863
950.000,-2.100502
940.000,-1.692376
930.000,-1.320398
920.000,-0.975860
910.000,-0.657262
900.000,-0.357160
890.000,-0.074842
880.000,0.176053
870.000,0.417267
860.000,0.631197
850.000,0.830157
840.000,1.016356
830.000,1.185032
820.000,1.342289
810.000,1.473868
800.000,1.601658
790.000,1.714872
780.000,1.812562
770.000,1.907729
760.000,1.987211
750.000,2.067248
740.000,2.129393
730.000,2.189144
720.000,2.243581
710.000,2.289282
700.000,2.339482
690.000,2.373290
680.000,2.410888
670.000,2.444512
660.000,2.478269
650.000,2.507001
640.000,2.534443
630.000,2.570146
620.000,2.588694
610.000,2.623950
600.000,2.648131
590.000,2.684070
580.000,2.706013
570.000,2.740296
560.000,2.762027
550.000,2.797915
540.000,2.815857
530.000,2.850616
520.000,2.872900
510.000,2.899026
500.000,2.939176
490.000,2.953226
480.000,2.985535
470.000,3.014397
460.000,3.037972
450.000,3.061101
440.000,3.093724
430.000,3.117011
420.000,3.133269
410.000,3.159026
400.000,3.190415
390.000,3.215699
380.000,3.242325
370.000,3.262033
360.000,3.279054
350.000,3.298629
340.000,3.315810
330.000,3.340622
320.000,3.356644
310.000,3.380694
300.000,3.389926
290.000,3.405425
280.000,3.412580
270.000,3.432444
260.000,3.455703
250.000,3.452388
240.000,3.463176
230.000,3.479540
220.000,3.489407
210.000,3.504956
200.000,3.508219
190.000,3.507692
180.000,3.517113
170.000,3.536897
160.000,3.531214
150.000,3.545369
140.000,3.553235
130.000,3.554761
120.000,3.567366
110.000,3.561208
100.000,3.567022
90.000,3.571521
80.000,3.580521
70.000,3.580154
60.000,3.580626
50.000,3.584782
40.000,3.587020
30.000,3.590756
20.000,3.592334
10.000,3.598148
0.000,3.605251
-10.000,3.597674
-20.000,3.609674
-30.000,3.609774
-40.000,3.615698
-50.000,3.606275
-60.000,3.608486
-70.000,3.613776
-80.000,3.614092
-90.000,3.612485
-100.000,3.618222
