I-V Test: B86-G33-22FZ+27MP-G-DMF-D1GB-C2
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
141 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 11:52 AM


Light Intensity:,100.0% Sun
Voc (mV),1022
Jsc (mA/cm2),4.80
Fill Factor,0.483
Efficiency (%),2.37
Voltage (mV),100.0% Sun (mA/cm2)
1300.000,-47.788344
1290.000,-40.292812
1280.000,-32.572344
1270.000,-26.285350
1260.000,-21.434412
1250.000,-17.733481
1240.000,-14.911775
1230.000,-12.727256
1220.000,-11.013987
1210.000,-9.622987
1200.000,-8.480900
1190.000,-7.520900
1180.000,-6.689537
1170.000,-5.936291
1160.000,-5.275656
1150.000,-4.696286
1140.000,-4.175504
1130.000,-3.658615
1120.000,-3.230284
1110.000,-2.802424
1100.000,-2.403532
1090.000,-2.045102
1080.000,-1.654234
1070.000,-1.337818
1060.000,-1.037478
1050.000,-0.723562
1040.000,-0.458396
1030.000,-0.207832
1020.000,0.049763
1010.000,0.278822
1000.000,0.510986
990.000,0.733994
980.000,0.914563
970.000,1.093922
960.000,1.308879
950.000,1.431592
940.000,1.605057
930.000,1.741530
920.000,1.881818
910.000,2.026604
900.000,2.114246
890.000,2.223565
880.000,2.335068
870.000,2.417894
860.000,2.511192
850.000,2.595463
840.000,2.668371
830.000,2.741804
820.000,2.822524
810.000,2.905140
800.000,2.947077
790.000,2.997752
780.000,3.036088
770.000,3.072897
760.000,3.100048
750.000,3.150668
740.000,3.178927
730.000,3.209869
720.000,3.236942
710.000,3.265093
700.000,3.281958
690.000,3.299718
680.000,3.319976
670.000,3.337761
660.000,3.355311
650.000,3.366652
640.000,3.386437
630.000,3.398279
620.000,3.423771
610.000,3.429849
600.000,3.452292
590.000,3.457186
580.000,3.460817
570.000,3.473341
560.000,3.482232
550.000,3.494363
540.000,3.513044
530.000,3.518200
520.000,3.541434
510.000,3.557586
500.000,3.561112
490.000,3.598947
480.000,3.614891
470.000,3.609341
460.000,3.635389
450.000,3.642411
440.000,3.669038
430.000,3.688297
420.000,3.706426
410.000,3.729078
400.000,3.752260
390.000,3.799907
380.000,3.816219
370.000,3.846083
360.000,3.868526
350.000,3.883414
340.000,3.916699
330.000,3.941458
320.000,3.975661
310.000,3.992499
300.000,4.027913
290.000,4.053147
280.000,4.094110
270.000,4.113659
260.000,4.155492
250.000,4.178857
240.000,4.201008
230.000,4.246556
220.000,4.257211
210.000,4.299386
200.000,4.335669
190.000,4.352375
180.000,4.376159
170.000,4.416807
160.000,4.435780
150.000,4.468271
140.000,4.489611
130.000,4.516866
120.000,4.537233
110.000,4.563884
100.000,4.588327
90.000,4.618874
80.000,4.638527
70.000,4.650867
60.000,4.684782
50.000,4.706696
40.000,4.717039
30.000,4.741511
20.000,4.763975
10.000,4.771973
0.000,4.795943
-10.000,4.820989
-20.000,4.842222
-30.000,4.846721
-40.000,4.857929
-50.000,4.871164
-60.000,4.885714
-70.000,4.892264
-80.000,4.907604
-90.000,4.916154
-100.000,4.935836
