I-V Test: B86-G33-22FZ+27MP-G-DMF-D1GB-C1
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
171 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 11:40 AM


Light Intensity:,100.0% Sun
Voc (mV),1029
Jsc (mA/cm2),5.77
Fill Factor,0.598
Efficiency (%),3.55
Voltage (mV),100.0% Sun (mA/cm2)
1600.000,-121.907125
1590.000,-122.458437
1580.000,-119.994062
1570.000,-116.665125
1560.000,-112.998312
1550.000,-109.002187
1540.000,-104.807375
1530.000,-100.634437
1520.000,-96.399187
1510.000,-92.085000
1500.000,-87.859750
1490.000,-83.638312
1480.000,-79.605062
1470.000,-75.410000
1460.000,-71.459437
1450.000,-67.641875
1440.000,-63.869250
1430.000,-60.295269
1420.000,-56.813112
1410.000,-53.512769
1400.000,-50.370525
1390.000,-47.334300
1380.000,-44.493825
1370.000,-41.804462
1360.000,-39.265031
1350.000,-36.852687
1340.000,-34.622606
1330.000,-32.455800
1320.000,-30.504669
1310.000,-28.554619
1300.000,-26.757356
1290.000,-25.054506
1280.000,-23.463794
1270.000,-21.954519
1260.000,-20.523175
1250.000,-19.157462
1240.000,-17.876219
1230.000,-16.467356
1220.000,-15.283056
1210.000,-14.020894
1200.000,-12.908881
1190.000,-11.874569
1180.000,-10.814181
1170.000,-9.798950
1160.000,-8.840925
1150.000,-7.932156
1140.000,-7.072494
1130.000,-6.239609
1120.000,-5.445422
1110.000,-4.705143
1100.000,-3.961025
1090.000,-3.308803
1080.000,-2.712777
1070.000,-2.098939
1060.000,-1.526879
1050.000,-1.020329
1040.000,-0.775341
1030.000,-0.055294
1020.000,0.396221
1010.000,0.799275
1000.000,1.150179
990.000,1.490456
980.000,1.831179
970.000,2.119174
960.000,2.377150
950.000,2.598475
940.000,2.825587
930.000,3.049913
920.000,3.225432
910.000,3.381217
900.000,3.554710
890.000,3.663401
880.000,3.797531
870.000,3.899563
860.000,3.998517
850.000,4.097761
840.000,4.188192
830.000,4.264387
820.000,4.326426
810.000,4.373417
800.000,4.432355
790.000,4.493394
780.000,4.528201
770.000,4.557697
760.000,4.574851
750.000,4.644154
740.000,4.650759
730.000,4.705875
720.000,4.709668
710.000,4.738686
700.000,4.753396
690.000,4.767259
680.000,4.784337
670.000,4.788521
660.000,4.807487
650.000,4.818412
640.000,4.833669
630.000,4.839588
620.000,4.850351
610.000,4.844747
600.000,4.855719
590.000,4.869292
580.000,4.882791
570.000,4.896892
560.000,4.900496
550.000,4.911971
540.000,4.917099
530.000,4.920101
520.000,4.935096
510.000,4.939594
500.000,4.971170
490.000,4.960250
480.000,4.985062
470.000,4.998636
460.000,5.000821
450.000,5.021999
440.000,5.046521
430.000,5.049573
420.000,5.067834
410.000,5.085962
400.000,5.096619
390.000,5.116456
380.000,5.142608
370.000,5.166919
360.000,5.181811
350.000,5.208333
340.000,5.227699
330.000,5.256849
320.000,5.270507
310.000,5.307182
300.000,5.319391
290.000,5.346149
280.000,5.368512
270.000,5.392509
260.000,5.425396
250.000,5.436132
240.000,5.476255
230.000,5.478887
220.000,5.503694
210.000,5.519982
200.000,5.538694
190.000,5.563025
180.000,5.584047
170.000,5.601255
160.000,5.607859
150.000,5.623514
140.000,5.647144
130.000,5.663300
120.000,5.668111
110.000,5.689107
100.000,5.701131
90.000,5.708419
80.000,5.712209
70.000,5.732020
60.000,5.721389
50.000,5.739784
40.000,5.737414
30.000,5.758540
20.000,5.748145
10.000,5.764462
0.000,5.771591
-10.000,5.783114
-20.000,5.753247
-30.000,5.787561
-40.000,5.776404
-50.000,5.794347
-60.000,5.781137
-70.000,5.794557
-80.000,5.782617
-90.000,5.793899
-100.000,5.785431
