I-V Test: B86-G33-22FZ+27MP-G-DMF-D1GB-C1
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
171 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 11:41 AM


Light Intensity:,100.0% Sun
Voc (mV),1024
Jsc (mA/cm2),5.69
Fill Factor,0.609
Efficiency (%),3.55
Voltage (mV),100.0% Sun (mA/cm2)
1600.000,-121.739750
1590.000,-123.447375
1580.000,-121.503000
1570.000,-118.568937
1560.000,-115.035562
1550.000,-111.122812
1540.000,-107.041375
1530.000,-102.919375
1520.000,-98.614750
1510.000,-94.268812
1500.000,-89.994187
1490.000,-85.758562
1480.000,-81.552812
1470.000,-77.576687
1460.000,-73.492750
1450.000,-69.588687
1440.000,-65.786062
1430.000,-62.140406
1420.000,-58.612094
1410.000,-55.269950
1400.000,-52.046644
1390.000,-49.023694
1380.000,-46.112837
1370.000,-43.363287
1360.000,-40.795344
1350.000,-38.454644
1340.000,-36.239631
1330.000,-33.861325
1320.000,-31.817125
1310.000,-29.849175
1300.000,-28.006212
1290.000,-26.305475
1280.000,-24.666312
1270.000,-23.060206
1260.000,-21.576294
1250.000,-20.132937
1240.000,-18.738031
1230.000,-17.467187
1220.000,-16.204119
1210.000,-14.933350
1200.000,-13.754119
1190.000,-12.623206
1180.000,-11.559331
1170.000,-10.485062
1160.000,-9.484350
1150.000,-8.554206
1140.000,-7.655387
1130.000,-6.717581
1120.000,-5.895641
1110.000,-5.117640
1100.000,-4.371151
1090.000,-3.677126
1080.000,-3.018695
1070.000,-2.400701
1060.000,-1.817512
1050.000,-1.257634
1040.000,-0.736641
1030.000,-0.262003
1020.000,0.208021
1010.000,0.611258
1000.000,1.011443
990.000,1.365031
980.000,1.681496
970.000,1.980542
960.000,2.273748
950.000,2.514753
940.000,2.765730
930.000,2.976162
920.000,3.170756
910.000,3.342408
900.000,3.484696
890.000,3.638717
880.000,3.773822
870.000,3.886274
860.000,3.999408
850.000,4.084366
840.000,4.181506
830.000,4.254466
820.000,4.328922
810.000,4.378731
800.000,4.425984
790.000,4.480842
780.000,4.519207
770.000,4.572562
760.000,4.595950
750.000,4.636679
740.000,4.655651
730.000,4.680224
720.000,4.711009
710.000,4.715744
700.000,4.730928
690.000,4.751606
680.000,4.759499
670.000,4.777862
660.000,4.785492
650.000,4.792518
640.000,4.811620
630.000,4.806962
620.000,4.804360
610.000,4.840012
600.000,4.823038
590.000,4.835141
580.000,4.835797
570.000,4.831669
560.000,4.853109
550.000,4.866581
540.000,4.844772
530.000,4.860269
520.000,4.855661
510.000,4.872741
500.000,4.874396
490.000,4.886499
480.000,4.890418
470.000,4.890343
460.000,4.912386
450.000,4.914572
440.000,4.924811
430.000,4.926548
420.000,4.938201
410.000,4.943752
400.000,4.958220
390.000,4.981507
380.000,4.983982
370.000,5.014053
360.000,5.027419
350.000,5.043339
340.000,5.060282
330.000,5.072647
320.000,5.090700
310.000,5.117455
300.000,5.129400
290.000,5.151607
280.000,5.181704
270.000,5.189572
260.000,5.210778
250.000,5.243192
240.000,5.280975
230.000,5.287053
220.000,5.325388
210.000,5.331439
200.000,5.352356
190.000,5.375853
180.000,5.395713
170.000,5.412053
160.000,5.439417
150.000,5.465174
140.000,5.481544
130.000,5.509401
120.000,5.519957
110.000,5.550317
100.000,5.560736
90.000,5.578100
80.000,5.607701
70.000,5.607335
60.000,5.625250
50.000,5.630485
40.000,5.656164
30.000,5.666504
20.000,5.661454
10.000,5.678107
0.000,5.689106
-10.000,5.691312
-20.000,5.699471
-30.000,5.703838
-40.000,5.697524
-50.000,5.713074
-60.000,5.723755
-70.000,5.726992
-80.000,5.744063
-90.000,5.734069
-100.000,5.743461
