I-V Test: B86-G33-22FZ+27MP-G-DMF-D1GB-C1
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
171 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 11:39 AM


Light Intensity:,100.0% Sun
Voc (mV),1037
Jsc (mA/cm2),5.81
Fill Factor,0.596
Efficiency (%),3.59
Voltage (mV),100.0% Sun (mA/cm2)
1600.000,-123.304000
1590.000,-123.625000
1580.000,-120.613250
1570.000,-116.709625
1560.000,-112.626625
1550.000,-108.336750
1540.000,-103.917250
1530.000,-99.466687
1520.000,-94.981625
1510.000,-90.600125
1500.000,-86.294750
1490.000,-81.989625
1480.000,-77.920562
1470.000,-73.655062
1460.000,-69.621937
1450.000,-65.846063
1440.000,-62.126337
1430.000,-58.472350
1420.000,-55.014475
1410.000,-51.580106
1400.000,-48.282481
1390.000,-45.191056
1380.000,-42.498006
1370.000,-39.820537
1360.000,-37.318162
1350.000,-34.891537
1340.000,-32.793575
1330.000,-30.683237
1320.000,-28.684387
1310.000,-26.732912
1300.000,-24.895069
1290.000,-23.292125
1280.000,-21.670575
1270.000,-20.172769
1260.000,-18.761544
1250.000,-17.423256
1240.000,-16.175806
1230.000,-14.927494
1220.000,-13.762144
1210.000,-12.731256
1200.000,-11.652987
1190.000,-10.624662
1180.000,-9.612794
1170.000,-8.665337
1160.000,-7.810087
1150.000,-7.026719
1140.000,-6.178730
1130.000,-5.353053
1120.000,-4.648398
1110.000,-3.944030
1100.000,-3.295544
1090.000,-2.699044
1080.000,-2.111908
1070.000,-1.540797
1060.000,-1.058056
1050.000,-0.572658
1040.000,-0.139930
1030.000,0.310081
1020.000,0.756625
1010.000,1.128132
1000.000,1.466197
990.000,1.766586
980.000,1.915793
970.000,2.304113
960.000,2.579401
950.000,2.801646
940.000,3.002002
930.000,3.188333
920.000,3.348802
910.000,3.510851
900.000,3.664082
890.000,3.784507
880.000,3.879280
870.000,3.998229
860.000,4.087395
850.000,4.161512
840.000,4.262229
830.000,4.312508
820.000,4.371969
810.000,4.435724
800.000,4.483634
790.000,4.529415
780.000,4.566304
770.000,4.602163
760.000,4.632580
750.000,4.682753
740.000,4.718720
730.000,4.726167
720.000,4.757212
710.000,4.767947
700.000,4.787496
690.000,4.808125
680.000,4.817911
670.000,4.819676
660.000,4.853246
650.000,4.850799
640.000,4.872242
630.000,4.876372
620.000,4.884529
610.000,4.891134
600.000,4.905446
590.000,4.924548
580.000,4.938441
570.000,4.945254
560.000,4.953490
550.000,4.968040
540.000,4.988352
530.000,4.987432
520.000,5.023791
510.000,5.038762
500.000,5.047551
490.000,5.076072
480.000,5.092303
470.000,5.117168
460.000,5.156872
450.000,5.151294
440.000,5.184074
430.000,5.206387
420.000,5.236354
410.000,5.252276
400.000,5.289477
390.000,5.310366
380.000,5.333230
370.000,5.378276
360.000,5.390747
350.000,5.429209
340.000,5.453311
330.000,5.480836
320.000,5.492806
310.000,5.516591
300.000,5.523856
290.000,5.563791
280.000,5.571580
270.000,5.610021
260.000,5.628147
250.000,5.638436
240.000,5.656351
230.000,5.675112
220.000,5.670611
210.000,5.698528
200.000,5.708871
190.000,5.716181
180.000,5.724549
170.000,5.731759
160.000,5.742361
150.000,5.743916
140.000,5.758146
130.000,5.773066
120.000,5.772854
110.000,5.768592
100.000,5.790879
90.000,5.787537
80.000,5.786514
70.000,5.781669
60.000,5.807032
50.000,5.798431
40.000,5.807269
30.000,5.796009
20.000,5.804951
10.000,5.798139
0.000,5.812531
-10.000,5.819586
-20.000,5.807267
-30.000,5.826187
-40.000,5.804664
-50.000,5.826264
-60.000,5.814317
-70.000,5.817974
-80.000,5.827213
-90.000,5.827527
-100.000,5.835549
