I-V Test: B86-G33-22FZ+27MP-G-DMF-D1GB-C1 dark
Comment: 
Pre-illuminating the cell 0.160000 cm2 for 0.000 min
171 measurment points were collected with additional applied  0.000 V voltage at a settling time of  100 ms

Friday -  March 13, 2015 - 11:38 AM


Light Intensity:,Dark Sun
Voc (mV),----
Jsc (mA/cm2),----
Fill Factor,----
Efficiency (%),----
Voltage (mV),Dark Sun (mA/cm2)
1600.000,-130.226812
1590.000,-129.270812
1580.000,-125.293875
1570.000,-120.854250
1560.000,-116.251875
1550.000,-111.545437
1540.000,-106.778187
1530.000,-102.044500
1520.000,-97.356187
1510.000,-92.694687
1500.000,-88.095250
1490.000,-83.728375
1480.000,-79.411187
1470.000,-75.012625
1460.000,-70.872750
1450.000,-66.782250
1440.000,-62.853875
1430.000,-59.112637
1420.000,-55.510894
1410.000,-52.124800
1400.000,-48.937462
1390.000,-45.787262
1380.000,-42.968200
1370.000,-40.242694
1360.000,-37.634481
1350.000,-35.317944
1340.000,-33.033237
1330.000,-31.058212
1320.000,-29.212287
1310.000,-27.562787
1300.000,-25.846225
1290.000,-24.207150
1280.000,-22.745406
1270.000,-21.431106
1260.000,-20.153562
1250.000,-18.979694
1240.000,-17.832531
1230.000,-16.785644
1220.000,-15.717925
1210.000,-14.767125
1200.000,-13.816325
1190.000,-12.941687
1180.000,-12.101850
1170.000,-11.274569
1160.000,-10.516244
1150.000,-9.776731
1140.000,-9.062050
1130.000,-8.397956
1120.000,-7.792775
1110.000,-7.153894
1100.000,-6.582256
1090.000,-6.044953
1080.000,-5.546976
1070.000,-5.078260
1060.000,-4.628721
1050.000,-4.224062
1040.000,-3.840847
1030.000,-3.479680
1020.000,-3.142296
1010.000,-2.821669
1000.000,-2.540402
990.000,-2.284154
980.000,-2.046086
970.000,-1.840323
960.000,-1.630141
950.000,-1.453926
940.000,-1.289311
930.000,-1.150137
920.000,-1.024065
910.000,-0.897362
900.000,-0.781971
890.000,-0.686970
880.000,-0.601414
870.000,-0.525223
860.000,-0.457609
850.000,-0.397388
840.000,-0.344297
830.000,-0.297730
820.000,-0.255557
810.000,-0.218935
800.000,-0.187023
790.000,-0.159714
780.000,-0.138430
770.000,-0.113963
760.000,-0.095994
750.000,-0.079604
740.000,-0.065844
730.000,-0.054400
720.000,-0.044087
710.000,-0.035378
700.000,-0.028695
690.000,-0.022091
680.000,-0.016750
670.000,-0.012409
660.000,-0.009068
650.000,-0.005174
640.000,-0.002543
630.000,0.000957
620.000,0.002378
610.000,0.003956
600.000,0.004746
590.000,0.005482
580.000,0.006008
570.000,0.006824
560.000,0.007087
550.000,0.007324
540.000,0.007350
530.000,0.007613
520.000,0.007587
510.000,0.007166
500.000,0.007271
490.000,0.007114
480.000,0.006982
470.000,0.004140
460.000,0.002378
450.000,0.006061
440.000,0.005851
430.000,0.005587
420.000,0.005061
410.000,0.005061
400.000,0.004956
390.000,0.004588
380.000,0.004219
370.000,0.004219
360.000,0.003904
350.000,0.003772
340.000,0.003351
330.000,0.003325
320.000,0.003246
310.000,0.003088
300.000,0.002825
290.000,0.002378
280.000,0.002404
270.000,0.002535
260.000,0.002430
250.000,0.001746
240.000,0.001509
230.000,0.001694
220.000,0.001641
210.000,0.001720
200.000,0.001536
190.000,0.001536
180.000,0.001536
170.000,0.001483
160.000,0.001693
150.000,0.001641
140.000,0.001615
130.000,0.001509
120.000,0.001246
110.000,0.001194
100.000,0.001220
90.000,0.001009
80.000,0.001088
70.000,0.001009
60.000,0.000983
50.000,0.000852
40.000,0.000799
30.000,0.000588
20.000,0.000667
10.000,0.000825
0.000,0.000562
-10.000,0.000536
-20.000,0.000799
-30.000,0.000773
-40.000,0.000562
-50.000,0.000536
-60.000,0.000299
-70.000,0.000378
-80.000,0.000378
-90.000,0.000378
-100.000,0.000273
